ID,POS,NEG,Lemme,Definicija,Vrsta
ENG30-03910033-n,0.0,0.0,penicilin,bilo koji od različitih antibiotika dobijenih od penicilijumskih kalupa (ili proizvedenih sintetički) koji se koriste u lečenju različitih infekcija i bolesti,n
ENG30-06308987-n,0.0,0.0,sufiks,Afiks koji se dodaje na kraj reči.,n
ENG30-08945821-n,0.0,0.0,"Gambija,Republika Gambija",GM,n
ENG30-13758556-n,0.0,0.0,"granična tačka,limes",Matematička vrednost ka kojoj funkcija teži kada nezavisna promenljiva teži beskonačnosti.,n
ENG30-02633881-v,0.0,0.0,"pokazati se,pokazivati se,ispostaviti se",Pokazati se ili biti dokazan.,v
ENG30-02073041-n,0.0,0.0,"Sirenia,red Sirenia,sirene,morske krave","Morska krava, lamantin, manati",n
ENG30-00816481-a,0.0,0.0,kasni,Koji je ili se dešava u nekom poodmaklom vremenskom periodu ili posle očekivanog vremena.,a
ENG30-10285938-n,0.0,0.0,muško dete,Dete koje je muško.,n
ENG30-00350030-n,0.0,0.0,okretanje,čin promene ili obrtanja pravca (smera) putanje,n
ENG30-12392070-n,0.0,0.0,kopriva,Neka od brojnih biljaka koje imaju bockave dlačice koje iritiraju kožu (posebno rod Urtica ili porodica Urticaceae).,n
ENG30-06980837-n,0.0,0.0,"savara,savarski",dravidski jezik kojim govori narod Savara u jugoistočnoj Indiji (severno od Madrasa),n
ENG30-01902877-n,0.0,0.0,"krljušt,ljuska","Tvrde, rožnate pločice koje pokrivaju telo mnogih životinja.",n
ENG30-00726300-v,0.0,0.0,pripisati,Tvrditi ili misliti da je neko odgovoran za neko delo ili čin.,v
ENG30-06361635-n,0.0,0.0,klinasto pismo,drevni sistem pisanja koriščen u Mesopotamiji i Persiji koji se sastoji od karaktera u obliku klinova,n
ENG30-04295881-n,0.0,0.0,stadion,Velika konstrukcija za sportove na otvorenom i zabavu.,n
ENG30-11224654-n,0.0,0.0,"Pasternak,Boris Pasternak,Boris Leonidovich Pasternak","Ruski pisac, 'Doktor Živago' (1890-1960).",n
ENG30-07671953-n,0.0,0.0,pržene iznutrice,"srce, jetra i ostali jestivi unutrašnji organi naročito svinja, obično seckani, formirani u veknu i prženi",n
ENG30-02801184-n,0.0,0.0,bazilika,Rana hrišćanska crkva konstruisana kao rimska basilika; ili rimokatolička crkva ili katedrala koja ima određene privilegije.,n
ENG30-03649459-n,0.0,0.0,"sud,tribunal",Organ koji vodi sudske poslove.,n
ENG30-11944954-n,0.0,0.0,"čičak,Carduus nutans",Evroazijska višegodišnja biljka koja vrlo bodljikavo pamučasto lišće i obešene glavice mirišnog cveća.,n
ENG30-14698698-n,0.0,0.0,metamorfna stena,stena nastala pod uticajem pritiska i toplote,n
ENG30-03249569-n,0.0,0.0,bubanj,Udaraljka; obično se sastoji od šupljeg cilindra na kome su oba kraja prevučena kožom.,n
ENG30-06550206-n,0.0,0.0,vozačka dozvola,vozačka dozvola; ovlašćenje za upravljanje motornim vozilom,n
ENG30-00770543-n,0.0,0.0,"kršenje,napad,nepoštovanje,povreda,prekršaj,prestup",čin koji zanemaruje kakav raniji dogovor ili čije pravo,n
ENG30-09222051-n,0.0,0.0,"komadić,parčence",mali deo koji se odvojio od celine,n
ENG30-10203298-n,0.0,0.0,indijanski poglavica,vođa plemena američkih domorodaca,n
ENG30-13469893-n,0.0,0.0,proklizavanje,proces lingvističkih promena u toku određenog vremenskog perioda,n
ENG30-13504173-n,0.0,0.0,"iteracija,petlja","u računarstvu, jedno izvršavanje skupa instrukcija koje se ponavljaju",n
ENG30-01743449-n,0.0,0.0,"Pythonidae,porodica Pythonidae",U nekim klasifikacijama porodica koja je izdvojena iz porodice Boidae uključuje boe Starog sveta.,n
ENG30-02959912-a,0.0,0.0,norveški,"koji se tiče Norveške, njenih ljudi i kulture",a
ENG30-00088481-n,0.0,0.0,otimačina,čin nasilnog oduzimanja imevine od vlasnika,n
ENG30-07867324-n,0.0,0.0,riba i čips,pržena riba i pomfrit,n
ENG30-13240514-n,0.0,0.0,vlasništvo,Relacija vlasnika prema stvari koju poseduje; posedovanje s pravom prenosa poseda na drugog.,n
ENG30-06224305-n,0.0,0.0,"politeizam,mnogoboštvo",verovanje u više bogova,n
ENG30-06324475-n,0.0,0.0,"determinant,determinator",jedan od tipova imeničkih modifikatora koji određuju referenciju imeničkih sintagmi,n
ENG30-11531193-n,0.0,0.0,divljaka,"Divlja, nekultivisana biljka (obično jabuka).",n
ENG30-06490743-n,0.0,0.0,poddirektorijum,(računarstvo) direktorijum koji je izlistan u nekom drugom direktorijumu,n
ENG30-07753743-n,0.0,0.0,pasiflora,Jajasto tropsko voće biljaka penjačica; koristi se za napitke i poslastičarske proizvode.,n
ENG30-02010728-n,0.0,0.0,"noćna čaplja,kvak,radovan,kvakavac,Nycticorax nycticorax",noća čaplja starog i novog sveta,n
ENG30-06409290-n,0.0,0.0,traktat,kratak spis o predmetu interesovanja objavljen u obliku brošure,n
ENG30-07095148-n,0.0,0.0,daktil,trosložna metrička stopa u kojoj je samo prvi slog naglašen,n
ENG30-08761868-n,0.0,0.0,"Kopenhagen,prestonica Danske,glavni grad Danske",Prestonica i najveći grad Danske; smešten na ostrvu Jiland.,n
ENG30-13664283-n,0.0,0.0,"novčana jedinica Etiopije,etiopska novčana jedinica",novčana jedinica Etiopije,n
ENG30-14597158-n,0.0,0.0,sorbent,materija koja upija drugu materiju; koja ima sposobnost ili tendenciju da je privuče  ili absorpcijom ili adsorpcijom,n
ENG30-03024420-a,0.0,0.0,marokanski,koji se tiče ili je karakteristično za Maroko i njegove ljude,a
ENG30-02909168-a,0.0,0.0,diferencijalan,koji ima vviše izvoda,a
ENG30-01127623-n,0.0,0.0,nametanje,čin nametanja nečega (kao što su porez ili embargo),n
ENG30-02776631-n,0.0,0.0,pekara,"Mesto gde se pečene stvari, kao hleb, precivo i kolači, proizvode i prodaju.",n
ENG30-06925538-n,0.0,0.0,"takilman,takelma",penutski jezik kojim govori narod Takelma,n
ENG30-03086183-n,0.0,0.0,koncentracioni logor,zatvroska ustanova u kojoj obično pod teškim uslovima borave politički ili ratni zarobljenici,n
ENG30-01372709-n,0.0,0.0,hlamidija,"okrugla rikecija koja napada ptice i sisare; izaziva infekcije očiju, pluća i urogenitalnog trakta",n
ENG30-08249960-n,0.0,0.0,plesni orkestar,Grupa muzičara koji sviraju popularnu muziku za igru.,n
ENG30-11786539-n,0.0,0.0,"taro,Colocasia esculenta",Biljka sa pacifičkih ostrva; gaji se zbog jestivog korena u umerenim područjima i kao ukras zbog velikog sjajnog lišća.,n
ENG30-06875883-n,0.0,0.0,govor prstima,abeceda ručnih znakova,n
ENG30-12462032-n,0.0,0.0,baluška,Biljka iz roda Tofieldia koja ima pravo lišće i male cvetove.,n
