X,Predicted,Real
"koji izazivati neprijatnost ; na primer , neprijatan istina ",1,0
osećanje izazvati nešto čudan i iznenađujući ,0,1
Osećanja koji se javljati kada osoba jesam u srećan stanje . ,1,0
slab sposobnost da se razumeti iskustvo ili profitirati iz on . ,1,0
profesor koji posećivati drugi koledž ili univerzitet i tamo predavati neki ograničen vreme . ,1,0
"koji jesam originalan ; jesam produktivan , ne donositi ništa neobično niti sveže . ",1,0
osnovni osećanje koji se teško definisati ali koji ljudi žele da osetiti . ,0,1
gledati neki sa divljenje . ,0,1
"u skolastika , jedan od četiri vrlina koji dolaziti od priroda . ",0,1
Pomoć u nevolja . ,0,1
Čin procenjivanje ili prosuđivanje . ,0,1
stanje degeneracija mentalan ili moralan kvalitet ,1,0
smatrati vredan . ,1,0
Načiniti napet . ,0,1
koristiti nešto zajedno ili sa neki drugi . ,1,0
Osećati tuga . ,1,0
Izreći sud o neki . ,0,1
proglasiti kriv ( utvrditi krivica ) ,1,0
"Nezavistan , jesam spojiti ili sjediniti . ",0,1
na čiji se lice očitavati zadovoljstvo ,0,1
koji inavodi na divljenje ili odobravanje ,0,1
"učiniti da nešto postati sanitarni ( bez bacil ) , replaced-dns ",0,1
"osobina onaj koji jesam konstantno , postojano ",0,1
onaj koji jesam običan ; jesam konevencionalan ili konformist . ,0,1
"koji imati potreban sposobnost , veština ili znanje da nešto uraditi . ",0,1
"kvalitet nešto što jesam isto po količina , mera , vrednost ili status ",0,1
biti privlačan koji ,0,1
nalaziti da jesam nešto zabavno ili prijatno . ,0,1
spojiti ili vezati . ,0,1
imati sposobnost ili moć kreativnost . ,1,0
ne pridržavanje moralan princip . ,1,0
koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ,1,0
potpuno verovanje u osoba ili plan itd . ,0,1
izneti kao svoj mišljenje ili sud ; izjaviti ,1,0
Osećanje samopoštovanje i ličan vrednost . ,0,1
crkven obred koji se nešto činiti svetiti . ,1,0
"podsticati ili ohrabrivati , naročito povik ",1,0
ukloniti neželjen supstanca iz nešto . ,0,1
Korisna ili vredan osobina ,0,1
biti prihvatljiv ili pristati . ,0,1
"imati želja , čežnja ili velik apetit za nešto . ",0,1
osoba koji se brina o ljudi i njihov svojina . ,0,1
moralno primeran ,0,1
koji moći da činiti po slobodan volja ; koji jesam sputati ograničenje . ,0,1
koji motivisati briga za otklanjanje patnja drugi . ,0,1
razvijati se u pozitivan smer ,0,1
"prijatan za oči ili duša , posebno jer jesam lep ili šarmantan . ",0,1
Čin ili proces merenje . ,0,1
čin dobrovoljan davanje za neki zajednički cilj ,1,0
Osećaj zanimanje i zainteresovanost za neki ili nešto . ,1,0
Čin koji se nešto poboljšavati . ,0,1
"kvalitet koji činiti daa jesam nešto poželjan , vredan ili korisno . ",0,1
Dan kada se slaviti neki svetac . ,1,0
koji jesam u život . ,0,1
za šta se nešto koristiti . ,1,0
zaključiti rezonovanje ,1,0
"koji jesam u sklad sa fiksiran redosled , procedura ili princip . ",0,1
Osećati bol . ,1,0
osobina onaj ko jesam široko prihvatiti i čiji se društvo tražiti . ,0,1
"odrediti mera neki ili nešto , uzeti mera ",0,1
osećanje dubok ljubav i divljenje ,0,1
Nešto što imati veličina i moći da se predstaviti matematički izraz pomoću konstane ili promenljiv . ,0,1
dati prednost jedan kreditor u odnos na drugi ,1,0
moći se koristiti i u vremenski smisao ,1,0
pozitivno naelektrisati jon ,1,0
osećanje naklonjenost ,0,1
velik po stepen ili intenzitet ili broj ili količina . ,0,1
"ustanoviti , zasnovati na zakon ili na zvanično prihvaćen pravilo ",0,1
neki ceniti atribut ili kvalitet . ,0,1
koji proizvoditi ili jesam sposoban da proizvoditi ( posebno u velik količina ) ,0,1
stanje biti zaposliti ili imati posati . ,0,1
koliko imati nešto što se moći izmeriti . ,0,1
Apolutno važno . ,0,1
obezbediti zabava za neki . ,0,1
nadmoćan ili povoljan položaj ,0,1
sastojak koji se dodavati nešto da ga poboljšati . ,1,0
stvoriti mišljenje o nešto ili preneti stav . ,1,0
Osećanje velik sreća . ,0,1
"Učiniti jednak , ravnomeran , odgovarajući ili saglasan . ",1,0
zabava koji držati pažnja . ,0,1
"zadovoljan stanje sreća , zdravlje i prosperitet . ",0,1
"koji se lako upravljati , koji ustupati . ",0,1
Čin koji se odustajati i napuštati broba ili zadatak . ,1,0
priznati svoj vera u šta ili privrženost šta ,1,0
na nizak nivo po rang ili značaj ,1,0
"ličan sloboda od ropstvo , zarobljeništvo i ugnjetavanje ",1,0
usrećiti ili zadovoljiti ,0,1
Čista nezaslađen čokolada koji se koristiti za kuvanje ( za pravljenje kolač ) . ,0,1
Omotač koji trebati da zaštititi nešto od oštećivanje ili povreda . ,0,1
( koristiti se za tekst ) koji jesam potpun ,1,0
proglasiti kriv ( utvrditi krivica ) ,1,0
umetnik nenadmašan veština . ,0,1
Prostorna lokacija koji definisati stvarno ili zamišljeno jednodimzenionalno širenje . ,1,0
koji se kretati . ,0,1
neki višeg rang ili položaj ili kvalitet . ,0,1
proceniti vrednost nešto . ,1,0
i u metaforički značenje ,0,1
