X,Predicted,Real
Radnik koji je najamljen da obavi posao.,0,1
Postati čvrst.,1,0
poseban splet okolnosti,1,0
Ne osecati se dobro ili udobno.,0,1
omiljena izreka kakve sekte ili političke grupe,1,0
sprečiti donošenje odluke porote,1,0
"aneko oboljenje koje karakteriše abnormalno funkcionisanje imunog siste,a što dovodi do toga da imuni sistem bolesnika proizvodi antitela protiv sopstvenog tkiva",1,0
izneti optužujuću tvrdnju,1,0
bonito,1,0
pun ili označen ozlojeđenošću ili zlovoljom,0,1
koji pokazuje ili izaziva veselje i zadovoljstvo,1,0
onaj koji nije stalan ili postojan,0,1
pružiti potreban podstrek za šta,1,0
stanje tehnološkog razvoja ili inovacije,1,0
"koji pobuđuje poštovanje, divljenje ili čuđenje",1,0
"Umanjiti po vrednosti, karakteru itd.",0,1
koji je oslobođen stresa ili pogoduje mentalnoj opuštenosti; koji ima ili pruža duševni mir,1,0
Oporavak ili način čuvanja od gubitka ili opasnosti.,1,0
lišiti slobode; držati u zatvoru,0,1
Stanje u kome je neko tužan.,0,1
Uništiti ili oštetiti na nasilan način.,0,1
koji odstupa od opšteg ili uobičajenog poretka ili vrste,1,0
Ljudski čin stvaranja.,0,1
"Jako osećanje, usmereno prema nekoj stvarnoj ili navodnoj muci.",0,1
"nešto što nije sigurno, što je pod sumnjom",1,0
govoriti nerazumljivo u religijskoj ekstazi,1,0
Proizvesti ili stvoriti proizvod stvoren ljudskom rukom.,1,0
Smestiti privremeno.,1,0
"Zaklanjati od opasnosti, povrede, uništenja ili štete.",1,0
protivno zakonu ili zakonom zabranjeno,0,1
"Koji privremeno nije aktivan, o vulkanima",1,0
Bolest krvi ili narušavanje funkcionisanja krvnih ćelija.,0,1
imati neželjene ili negativne kvalitete,0,1
koji nije hijerarhijski klasifikovan,1,0
osobina neprijatelja ili onoga ko je spreman za borbu,1,0
zabranjeno zakonom ili zvanično usvojenim pravilima,1,0
odbacivanje činom zabrane,1,0
veoma mali kanal.,1,0
napraviti nered u nečemu,1,0
Kvalitet koji ne pruža zadovoljstvo čulima.,0,1
ozloglašenost zbog neke posebne karakteristike,1,0
formalno opovrgnuti (navode suprotne strane) u sudskom postupku,1,0
Tuga povezana sa nekim učinjenim zlom ili nekim razočaranjem.,0,1
Tih neprekidan nerazumljiv zvuk; obično ga prati kretanje usana koje ne proivodi artikulisani govor.,0,1
"Biti lažljiv, neiskrene prema nekome.",0,1
Stanje kognitivnih procesa neke osobe.,1,0
odbrana protiv gubitka,1,0
"(krivično pravo) pravnosnažna,osuđujuća presuda u krivičnom postupku sa dosuđenom kaznom",0,1
"presuda(odluka) da optuženi nije kriv, odluka o nepostojanju krivice,o oslobađanju od krivice",1,0
osoba ili firma koja zapošljava radnike,0,1
Sastavljati od komponenata ili delova.,0,1
"intenzivno učiti, kao pre ispita",1,0
čin namernog odstupanja od istine,0,1
Postati zatvoren.,1,0
Slavuji.,1,0
pružiti moralnu ili emocionalnu snagu,1,0
Čin prljanja nečega.,0,1
koji obezbeđuje interpretaciju,1,0
stanje zatočenosti (obično za kratko vreme),1,0
divljačko i prekomerno ubijanje mnogih ljudi,0,1
"osobina onoga koji ne odustaje od svoje ideje, osećanja ili namere",1,0
Koji je pred erupcijom ili izbacuje lavu (o vulkanima),1,0
Ubistvo javne ličnosti iznenadnim napadom.,1,0
zbog štete koje je nanosio u poxlima već je istrebljen,1,0
Ubiti velik broj ljudi bez razlike.,1,0
Stanje zrelosti; puni razvoj.,1,0
Pričati na besposlen ili neobavezan način sa elementom sumnje ili bez dovoljno razloga da se dođe do zaključka.,0,1
