X,Predicted,Real
"Koji ima potrebne sposobnosti, veštinu ili znanje da nešto uradi.",0,1
Omotač koji treba da zaštiti nešto od oštećivanja ili povrede.,0,1
Ne pridržavanje moralnim principima.,1,0
radnja koju karakteriše dobro raspoloženje,0,1
Proceniti da je nešto dobro; misliti pozitivno o nečemu.,0,1
"osobina onoga koji ne odustaje od svoje ideje, osećanja ili namere",0,1
Podvrgnuti nedobronamernom smehu.,1,0
Postati stabilan ili stabilniji.,0,1
Koji proizvodi ili je sposoban da proizvede nameravani rezultat ili koji proizvodi izuzetan efekat.,0,1
"U skolastici, jedna od četiri vrline koje dolaze od prirode.",0,1
Izuzetna moralna vrednost.,0,1
Oosba koja pokušava da se dopadne ili da zabavi.,0,1
sposobnost postojanja ili delovanja u harmoničnoj ili usklađenoj kombijaciji,0,1
Učiniti čistim uklanjanjem prljavštine ili neželjenih supstanci.,0,1
Visoka vrednost nečega.,0,1
veseo i ozaren,0,1
angažovati ili unajmiti za neki posao,0,1
osobina ljudi da veruju u poštenje i pouzdanost drugih,0,1
učiniti čistim ili slobodnim od greha ili krivice,0,1
Osnovno osećanje koje se teško definiše ali koje ljudi žele da osete.,0,1
Čin ukrašavanja nečega (u nadi da će od toga privlačnije izgledati).,1,0
osobina prefinjene uglađenosti i dobrog ukusa,0,1
Koji može da se desi ili da postoji.,0,1
Osećanja proživljena kada je neko u zadovoljnom stanju.,0,1
onaj koji poseduje moralne kvalitete;,0,1
"presuda(odluka) da optuženi nije kriv, odluka o nepostojanju krivice,o oslobađanju od krivice",0,1
Nalaziti da je nešto zabavno ili prijatno.,0,1
kvalitet onoga što ima veliku cenu,0,1
Čin dodavanja spoljašnjih ukrasa na nešto.,0,1
Koga se tič principi dobra i zla; koji se uklapa u standarde ponašanja i karaktera koji su zasnovani na ovim principima.,0,1
Bez prljavštine ili nečistoće; onaj koji ima naviku da bude čist,0,1
koji nešto potvrđuje,0,1
Stanje kada je neko prosperitetan i uspešan.,0,1
Učiniti da nešto bude pomaknuto prema napred.,0,1
rad koji se obavlja sa drugima radi zajedničkog cilja ili koristi,0,1
"onaj kojem se ne može ukazati poverenje, u koga se ne možemo pouzdati",1,0
Radnik koji je najamljen da obavi posao.,0,1
Proizvesti smeh.,0,1
Stanje biti zaposlen ili imati posao.,0,1
"Prijatan za oči ili dušu, posebno jer je lep ili šarmantan.",0,1
pružiti moralnu ili emocionalnu snagu,0,1
izuzetno dobar; ove reči se koriste za naglašavanje značenja drugih reči,0,1
Biti prihvatljiv ili pristao.,0,1
Osoba koja se brina o ljudima i njihovoj svojini.,0,1
Dati razloga za očekivanja.,1,0
Osobina onog ko je široko prihvaćen i čije se društvo traži.,0,1
može se koristiti i u vremenskom smislu,0,1
Biti nekome prihvatljiv ili odgovarajući.,0,1
Ličnost koja može da proceni vrednost ili kvalitet.,0,1
osoba koja voli ili je voljena,0,1
Čin procenjivanja ili prosuđivanja.,0,1
Ublažavanje patnje; pokazivanje velike dobrote prema izmučenima.,0,1
"lična sloboda od ropstva, zarobljeništva i ugnjetavanja",0,1
koji ima urođenu sklonost prema dobroti,0,1
"koji pokazuje ili je motivisan saosećanjem, razumevanjem i velikodušnošću",0,1
Pomoć u nevolji.,0,1
Koji nastaje iz želje da se doprinese blagostanju ili sreći drugih.,0,1
Učiniti boljim.,0,1
Profesor najvišeg ranga.,0,1
sposoban za korektno i validno rezonovanje,0,1
Oporavak ili način čuvanja od gubitka ili opasnosti.,0,1
"Imati želju, čežnju ili veliki apetit za nešto.",0,1
"ustanovljeno,zasnovano na zakonu ili na zvanično prihvaćenim pravilima",0,1
opšte prihvaćen i uvažen,0,1
Biti prihvatljiv ili odgovarajući.,0,1
revnostan u posvećenosti i privrženosti,0,1
"koji se želi, traži",0,1
briga o razlikovanju dobra i zla ili pravednog i nepravednog; dobro ili pravedno ponašanje,0,1
držanje do moralnih principa,0,1
