Sysnet,POS,Predicted
b'koji ose\xc4\x87ati ili ispoljavati kajanje zbog nedelo ',0,1
"b'koji karakeri\xc5\xa1e ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . '",1,0
b'ose\xc4\x87anje zapla\xc5\xa1enost ',0,1
b'neki ko poku\xc5\xa1avati da probrati drugi u drugi vera ili dkotrinu . ',0,1
b'\xc4\x8depac ',0,1
"b'onaj \xc5\xa1to se mo\xc4\x87i videti , ili se mo\xc4\x87i znati ili zaklju\xc4\x8diti da imati svoj fizi\xc4\x8dki postojanje ( \xc5\xbeiv ili ne\xc5\xbeiv ) . '",0,1
b'vuga ',0,1
b'postati namo\xc4\x8diti ',0,1
b'TN ',0,1
b'ne pridr\xc5\xbeavanje moralan princip . ',0,1
b'koji na sebe imati prljav\xc5\xa1tina ili ne\xc4\x8disto\xc4\x87a . ',0,1
b'Prestonca Bosna i Hercegovina . ',0,1
"b'koji se \xc5\xbeeti , tra\xc5\xbeiti '",1,0
b'kupusara ; ? sulphur butterflies . ',0,1
b'profesor visok rang . ',1,0
b'ukloniti ne\xc5\xbeeljen supstanca iz ne\xc5\xa1to . ',1,0
b'lepota koji jesam privla\xc4\x8dan \xc4\x8dulo . ',1,0
b'na\xc4\x8din rad ili pona\xc5\xa1anje ',0,1
b'koji se mo\xc4\x87i prebrojati ',0,1
"b'\xc4\x8cin uklanjanje \xc4\x8di\xc5\xa1\xc4\x87enje , osloba\xc4\x91anje od talog ili drugi nepo\xc5\xbeeljan element . '",0,1
b'rezultat parcelisanje ili deljenje . ',0,1
b'slavuj . ',0,1
b'radnik koji jesam najamiti da obaviti posati . ',1,0
b'osoba koji ispoljavati pobo\xc5\xbenost . ',0,1
b'kvalitet koji pru\xc5\xbeati zadovoljstvo \xc4\x8dulo . ',1,0
b'onaj koji postojati ili se pojavljivati u stvarnost ; imati proveren postojanje ; jesam iluzoran ; ',0,1
b'koale ',0,1
b'koji mo\xc4\x87i da se desiti ili da postojati . ',1,0
b'osoba koji se brina o ljudi i njihov svojina . ',1,0
b'koji ose\xc4\x87ati nadolaze\xc4\x87i opasnost ',0,1
b'tarkati ',0,1
b'zve\xc4\x8darka ',0,1
b'osloboditi konfuzija ili dvosmislenost ; u\xc4\x8diniti jasan . ',0,1
"b'nagovestiti , naslutiti , predose\xc4\x87ati . '",0,1
b'srediti ili ispraviti ; o te\xc5\xa1ko\xc4\x87a ili problem ',0,1
b'Oslobo\xc4\x91en spolja\xc5\xa1nji kontrola i ograni\xc4\x8denje . ',1,0
b'na visok nivo po rang ili zna\xc4\x8daj ',1,0
b'\xc4\x8cin dodavanje spolja\xc5\xa1nji ukras na ne\xc5\xa1to . ',1,0
b'Taikmi\xc4\x8denje sa pravilo koji odre\xc4\x91ivati pobednik . ',0,1
b'imati egzistanciju . ',0,1
b'galago ',0,1
"b'jako ose\xc4\x87anje , usmeren prema neki stvaran ili navodni muka . '",0,1
b'ose\xc4\x87anje izazvati ne\xc5\xa1to \xc4\x8dudan i iznena\xc4\x91uju\xc4\x87i ',1,0
b'DZ ',0,1
b'zmijinci ',0,1
b'osoba koji se odmarati ',0,1
b'o apostrofa ili koji jesam karakteristika apostrofa ',0,1
b'osoba \xc4\x8diji jesam svetost izuzetan ',1,0
b'velik bogatstvo . ',1,0
"b'koji ohrabrivati , odobravati ili zadovoljavati '",1,0
b'\xc4\x8cin promena jedinstvo ili celovitost ne\xc5\xa1to . ',0,1
b'imati ili vr\xc5\xa1iti uticaj ili delovanje . ',0,1
b'\xc4\x8duga ; ? hemlock fir ; ? hemlock spruce ',0,1
b'stanje biti zaposliti ili imati posati . ',0,1
b'u\xc4\x8diniti mokriti ',0,1
b'koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ',1,0
b'kretati se prema neki ili ne\xc5\xa1to . ',0,1
"b'biti upla\xc5\xa1iti , pla\xc5\xa1iti se '",0,1
b'stvoriti mi\xc5\xa1ljenje o ne\xc5\xa1to ili preneti stav . ',1,0
"b'koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . '",1,0
b'\xc4\x8cin kada se pritiskati . ',0,1
b'biti \xc5\xa1ta u sklad sa princip pravda ',1,0
b'cevozubac ',0,1
b'dubok \xc5\xa1erpa sa ruckom koji se koristiti za dinstanje i kuvanje . ',0,1
b'Dudovac ',0,1
b'Omota\xc4\x8d koji trebati da za\xc5\xa1tititi ne\xc5\xa1to od o\xc5\xa1te\xc4\x87ivanje ili povreda . ',1,0
b'ideal prema koji se ne\xc5\xa1to mo\xc4\x87i procenjivati ',0,1
b'za ',0,1
"b'Onak koji jesam produktivan , sve\xc5\xbe , neobi\xc4\x8dan ; ne\xc5\xa1to \xc5\xa1to jesam prvi put smi\xc5\xa1ljeno . '",1,0
b'\xc4\x8ci\xc4\x8dkovac . ',0,1
b'dr\xc5\xbeanje do moralan princip ',0,1
b'kravajac ',0,1
b'\xc4\x8cin opstruiranje . ',0,1
b'pavpav ',0,1
b'osobina onaj \xc5\xa1to jesam permeabilno ( npr . u proces osmoza ) ',0,1
b'kozodoji ',0,1
b'ose\xc4\x87anje velik utu\xc4\x8denost i melanholija ',0,1
b'kareta ',0,1
b'suhoperka ',0,1
b'an authoritative declaration ',0,1
b'rastaviti se u deli\xc4\x87 . ',0,1
b'koji odgovarati za svoj postupak . ',1,0
b'U\xc4\x8diniti ponovo . ',0,1
b'Brgljez . ',0,1
b'razvijati se u pozitivan smer ',1,0
"b'osobina varijabilnost , izmenljivost ili nestajanje u vreme '",0,1
b'U\xc4\x8diniti ili prisiliti da se prihvatiti nacizam ili nacisti\xc4\x8dki karakter . ',0,1
b'koji nastajati iz \xc5\xbeelja da se doprineti blagostanje ili sre\xc4\x87a drugi . ',1,0
b'Osli\xc4\x87i . ',0,1
b'kvalitet neki ili ne\xc5\xa1to \xc5\xa1to jesam va\xc5\xbean ili vredan pa\xc5\xbenja . ',0,1
b'pollack ',0,1
b'neki ko birati prema eklekti\xc4\x8dan metoda ',0,1
b'Ose\xc4\x87anje pomanjkanje briga . ',0,1
b'\xc5\xbeirafa ',0,1
b'mo\xc4\x87i se koristiti i u vremenski smisao ',1,0
b'proceniti vrednost ne\xc5\xa1to . ',0,1
b'onaj koji postignuti velik ili nagao brzina ili uspon ',0,1
"b'onaj koji se ne mo\xc4\x87i ukazati poverenje , u koji se ne mo\xc4\x87i pouzdati '",0,1
b'fistularija ',0,1
b'\xc4\x8cina jesam samo manat ',0,1
"b'Anturium , filodendron , ? ? '",0,1
b'autorski pseudonim ',0,1
"b'Milava , \xc5\xa1a\xc5\xa1uljica . '",0,1
b'anga\xc5\xbeovati ili unajmiti za neki posao ',1,0
b'U\xc4\x8diniti zakon i pravilo liberalan ili liberalan . ',0,1
b'osoba koji imati radikalan ideja ili mi\xc5\xa1ljenje ',0,1
b'\xc5\xbdabogriz . ',0,1
b'Uciniti debeo ili puna\xc4\x8dak . ',0,1
"b'\xc5\xa0kola koji jesam privatno osnovan i tako se ona i upravljati , a izdr\xc5\xbeavati se donacija i upisnina . '",0,1
b'zvonara ',0,1
b'nedostatak briga za dobrobit drugi ',0,1
b'crkven obred koji se ne\xc5\xa1to \xc4\x8diniti svetiti . ',0,1
b'koji se mo\xc4\x87i izra\xc4\x8dunati ili proceniti ',0,1
"b'li\xc4\x8dan sloboda od ropstvo , zarobljeni\xc5\xa1tvo i ugnjetavanje '",1,0
b'pakujac ',0,1
b'koji jesam otrovati ili proizvoditi otrov . ',0,1
b'dobro rasporediti grupa ',0,1
b'imati ne\xc5\xbeeljen ili negativan kvalitet ',0,1
b'sjediniti ili spojiti ',0,1
b'materija koji imati sposobnost ili tendencija da adsorbuje drugi materija ( adsorbat ) ',0,1
b'skarabej . ',0,1
b'osoba sa neobi\xc4\x8dan ili \xc4\x8dudan li\xc4\x8dnost ',0,1
b'kretati se na skija . ',0,1
b'gavke ',0,1
b'Ne\xc5\xa1to \xc5\xa1to imati veli\xc4\x8dina i mo\xc4\x87i da se predstaviti matemati\xc4\x8dki izraz pomo\xc4\x87u konstane ili promenljiv . ',1,0
b'dr\xc5\xbeati propoved ',0,1
b'dr\xc5\xbeati u sebe ',0,1
b'koji ne\xc5\xa1to potvr\xc4\x91ivati ',1,0
"b'onaj \xc5\xa1to jesam u saglasnost s norma ili \xc5\xa1to \xc4\x8diniti norma ( standard , socijalan norma , ird ) . '",1,0
"b'u skolastika , jedan od \xc4\x8detiri vrlina koji dolaziti od priroda . '",1,0
b'postati imu\xc4\x87an ili bogat ',0,1
"b'onaj \xc5\xa1to jesam lako , zahtevati velik fizi\xc4\x8dki ili mentalan napor da biti se ostvariti . razumeti ili izdr\xc5\xbeati . '",0,1
b'zanimanje moler . ',0,1
b'divokoza ',0,1
b'mehurast foka ',0,1
b'nadmo\xc4\x87an ili povoljan polo\xc5\xbeaj ',1,0
"b'istopiti se , polomiti ili na drugi na\xc4\x8din postati neupotrebljiv ; o sijalica i osigura\xc4\x8d '",0,1
b'rotkva ',0,1
b'proizvesti smeh . ',1,0
b'stanje u koji jesam ne\xc5\xa1to va\xc5\xbeno ili preko potrebno . ',0,1
"b'osobina , svojstvo onaj \xc5\xa1to jesam konkavan '",0,1
b'biti pa\xc5\xbeljiv ili siguran da se ne\xc5\xa1to u\xc4\x8diniti ; uveriti se u ne\xc5\xa1to ',0,1
b'baciti \xc4\x8diniti na neki ili nestxo ',0,1
b'\xc5\xbdi\xc5\xbeak ',0,1
b'osobina ljudi da verovati u po\xc5\xa1tenje i pouzdanost drugi ',1,0
b'priznati svoj vera u \xc5\xa1ta ili privr\xc5\xbeenost \xc5\xa1ta ',0,1
b'glavo\xc4\x8d ',0,1
b'pe\xc5\xa1ac ',0,1
b'osoba koji imati konzervativan ideja ili stav . ',0,1
b'U\xc4\x8diniti goreti . ',0,1
b'bosti ',0,1
b'biti sastojak . ',0,1
"b'U\xc4\x8diniti atraktivan dodavanje ukras , boja , i sl . '",1,0
b'kljunari ',0,1
b'Vi\xc4\x91liva spolja\xc5\xa1njost neki ili ne\xc5\xa1to . ',0,1
b'Prostorna osobina ne\xc5\xa1to \xc5\xa1to imati dimenzija . ',0,1
"b'prijatan za o\xc4\x8di ili du\xc5\xa1a , posebno jer jesam lep ili \xc5\xa1armantan . '",1,0
b'babun . ',0,1
b'osoba koji jesam umreti i proglasiti za svetac proces kanonizacije ',1,0
b'koji izazivati poti\xc5\xa1tenost ',0,1
