X,Predicted,Real
stanje dubok obuzetost ,1,0
elektrolit velik molekularan težina ,1,0
vodarica ,1,0
opaliti ili se isprazniti ,1,0
izraziti zahvalnost ili pokazati poštovanje ,1,0
čin neprikladan intimnost ,1,0
stanje u koji jesam neki aktivan . ,1,0
"udica na koji jesam pričvršćen kanap , plovak , visak i kuk ",1,0
osećanje intezivne nesreća ,1,0
osoba čiji jesam svetost izuzetan ,1,0
kvalitet nešto što jesam adekvatno ili perfektno . ,1,0
razdvojiti što jesam sastavljen . ,1,0
koji moći ponovo da se koristiti ,0,1
stanje bez oštećenje ili propadanje ,0,1
proizvesti smeh . ,0,1
Takmičenje sportista . ,1,0
biti prihvatljiv ili pristati . ,0,1
zbir vrednost podeljen broj vrednost ,1,0
odbaciti neki svoj . ,1,0
odsustvo moralan ili duhovan vrednost ,1,0
"koji ohrabrivati , odobravati ili zadovoljavati ",0,1
okarakterisan neprijateljstvo ili zlovolja ,1,0
kvalitet onaj što jesam teško otkriti ili analizirati . ,1,0
upadljiv uspeh . ,0,1
biti veoma primetati . ,0,1
činjenje dobra ; osećaj dobrotvornosti ,0,1
onaj što uključivati računanje ili računar . ,1,0
koji jesam osloboditi stresati ili pogodovati mentalan opuštenost ; koji imati ili pružati duševan mir ,0,1
biti zaljubiti ili u ljubav s neki ,0,1
"žalovati , tugovati , ili osećati gubitak zbog nešto što jesam učiniti ili jesam učiniti ",1,0
osećanje velik utučenost i melanholija ,1,0
nagon za polni prisnost . ,0,1
postati stabilan ili stabilan . ,0,1
navlaka koji prerušavati ili štititi lice . ,1,0
sklonost obavljanje dobrovoljan ili dobrotvoran posao ,0,1
general visok rang ,1,0
usrećiti ili zadovoljiti ,0,1
kvalitet da jesam šta opšti ili široko rasprostranjen ili da imati opšti primenljivost ,1,0
stanje kada jesam neki prosperitetan i uspešan . ,0,1
biti privlačan koji ,0,1
sposoban za korektan i validan rezonovanje ,0,1
zaokupiti na prijatan ili zabavan način . ,0,1
koji jesam u dobar zdravlje telo ili duh . ,1,0
Osećanje pomanjkanje briga . ,1,0
sumnjati ili izražavati sumnjičav spekulacija . ,1,0
ne osecati se dobro ili udobno . ,1,0
Umešnost u rukovanje koji poticati od vežbanje i dobar poznavanje . ,1,0
