,ID,Definicija
0,ENG30-03574555-n,zgrada u koji se nalaziti organizacioni jedinica neki grana javan poslovanje 
1,ENG30-07810907-n,pripremljen dodatak jela za poboljšanje ukus 
2,ENG30-00721431-n,"u nečiji prilika , mogućnost "
3,ENG30-00473799-v,ostati jesam još samo da se doterati neki finesa u igra plaviti . 
4,ENG30-00903385-v,zapad on jesam oprostiti što se nekada računati u Slobin prijatelj . 
5,ENG30-00900961-v,""" i najposle se oprostiti : on sklapanje ruka , ja poklon . "" "
6,ENG30-01987160-v,Čeličnu grdosija težak ukupno @card@ ton postaviti jesam na stub i namontirali neimar Mostogradnje . 
7,ENG30-01348174-v,sputati pomoću brava 
8,ENG30-01376245-v,razmestiti na raštrkan način . 
9,ENG30-01382083-v,Tražiti i sakupljati . 
10,ENG30-01387022-v,uglačati turpija 
11,ENG30-01393996-v,Očistiti metenje . 
12,ENG30-01421622-v,staviti ili ubaciti u nešto . 
13,ENG30-01431987-v,lagano dodirivati ili maziti . 
14,ENG30-01437254-v,"uzrokovati ili narediti da se preneti , usmeriti ili odaslati na drugi mesto . "
15,ENG30-01441100-v,napraviti rupa u nešto . 
16,ENG30-01445932-v,"uhvatiti , odgristi ili otrgnuti pomoću zub ili kao zub . "
17,ENG30-01446901-v,pomerati ili ljuljati napred-nazad . 
18,ENG30-01371756-v,"terati , voditi noga , u sport kao što jesam futbal . "
19,ENG30-01370561-v,udariti noga 
20,ENG30-01391280-v,poravnati ili raširiti valjak . 
21,ENG30-01435380-v,poslati od jedan osoba ili mesto na drugi . 
22,ENG30-01456771-v,Čvrsto stisnuti među prst . 
23,ENG30-01461328-v,Smešati u jedan celina . 
24,ENG30-01487311-v,natovariti teret . 
25,ENG30-01488956-v,napuniti ili natovariti do kraj . 
26,ENG30-01489989-v,napuniti ili natovariti . 
27,ENG30-01493619-v,Čvrsto ili sigurno se smestiti . 
28,ENG30-01528069-v,zabiti ili silom uterati . 
29,ENG30-01536168-v,ispratiti sapun ili preostali prljavština . 
30,ENG30-01566705-v,Uništiti ili oštetiti na nasilan način . 
31,ENG30-01573515-v,razdvojiti ili učiniti da se nešto naglo razdvojiti . 
32,ENG30-01631534-v,"stvoriti mentalno i apstraktan , a ne ručno . "
33,ENG30-01634142-v,zamisliti neki ideja . 
34,ENG30-01691057-v,ostavljati ili crtati po površina . 
35,ENG30-01723690-v,poprimiti ili glumiti nečiji karakter . 
36,ENG30-01747374-v,pisati nešto ponovo kako jesam . 
37,ENG30-01797051-v,Osećati tuga . 
38,ENG30-01824532-v,Osećati ili izražavati želja ili nada za nečiji budućnost . 
39,ENG30-01828405-v,jako ili neprekidno želeti . 
40,ENG30-01866610-v,vrteti se ili uzrokovati da se nešto vrtiti . 
41,ENG30-01868370-v,micati se uvijen ili grčevit pokret ( posebno u borba ) . 
42,ENG30-01876530-v,"kretati se u jedan smer , a zatim u suprotan . "
43,ENG30-01888946-v,tresti se grčevito 
44,ENG30-01902405-v,kretati se žurno . 
45,ENG30-01902783-v,biti u pokret zbog neki strujiti vazduh ili voditi . 
46,ENG30-01909397-v,okrenuti se iz uspravan ili normalan položaj . 
47,ENG30-01911888-v,Prić kradom ili krišom . 
48,ENG30-01916634-v,"hodati gordo , često pokušavati da se impresionirati drugi . "
49,ENG30-01920932-v,"Ići na dug pešačenje , iz zadovoljstvo ili telesni vežba . "
50,ENG30-01938426-v,kretati se na skija . 
51,ENG30-01960911-v,putovati kroz voda . 
52,ENG30-01977701-v,pustiti nešto da pasti na zemlja . 
53,ENG30-01983771-v,pretrpeti promena u položaj telo . 
54,ENG30-01993926-v,Učiniti da nešto biti pomaknuti prema napred . 
55,ENG30-02038357-v,nagnuti se ili saviti iz uspravan položaj . 
56,ENG30-02058448-v,micati se neprestano . 
57,ENG30-02123672-v,Ispuštati miris . 
58,ENG30-02125223-v,osetiti nečiji miris . 
59,ENG30-01887576-v,kretati se gladak i bez muka . 
60,ENG30-01886488-v,prolaziti ili se kretati nenametljiv ili gladak . 
61,ENG30-01587062-v,potpuno okružiti . 
62,ENG30-01467370-v,protezati se istovremeno na sav strana . 
63,ENG30-01976841-v,padati okomito . 
64,ENG30-02157731-v,Učiniti manje vidljiv ili nejasan . 
65,ENG30-02158587-v,Učiniti neprepoznatljiv . 
66,ENG30-01334535-v,sakriti pod lažan pojava . 
67,ENG30-02163746-v,"Ugladati , opaziti oči . "
68,ENG30-02165543-v,Pažljivo ispitati . 
69,ENG30-02186506-v,proizvoditi ili emitovati prodoran zveketav zvuk . 
70,ENG30-02188587-v,"proizvoditi taj šuštav zvuk , kao kad motor raditi ili krilo lepršaj . "
71,ENG30-02212825-v,ne dati neki šta on pripadati . 
72,ENG30-02259005-v,zameniti ili dati nešto u zamena . 
73,ENG30-02290461-v,Steći korist . 
74,ENG30-02293321-v,predati neki ili nešto drugi . 
75,ENG30-02324026-v,dobiti privremeno . 
76,ENG30-02345647-v,pozajmiti nešto što jesam strogo potrebno . 
77,ENG30-02349212-v,ukazati poverenje koji . 
78,ENG30-02378623-v,delovati protiv nešto . 
79,ENG30-02384940-v,pozvati kao gost . 
80,ENG30-02437707-v,biti zadužiti za nešto ili imati poslati sa nešto . 
81,ENG30-02485844-v,Ići sa neki na sastanak . 
82,ENG30-02506546-v,prisiliti ili obavezati neki da uraditi nešto . 
83,ENG30-02570267-v,Ponašati se prema neki sa preteran popustljivost . 
84,ENG30-01752884-v,Učiniti moguć . 
85,ENG30-02641035-v,privremeno prekinuti aktivnost pre nego što se nastaviti . 
86,ENG30-02652494-v,biti stanar ; privremeno boraviti . 
87,ENG30-02656390-v,obezbediti sklonište . 
88,ENG30-02664575-v,biti ili činiti osnova . 
89,ENG30-02700104-v,"biti u sklad , harmonija . "
90,ENG30-02705535-v,biti deo . 
91,ENG30-02758033-v,obilno kišiti . 
92,ENG30-02733524-n,Građevinska konstrukcija ( obično zakriviti ) koji služiti da premostiti otvor ( arhitektura ) . 
93,ENG30-03462594-n,Površina ( kao zid ili platno ) pripremiti da primiti boja za slika ( umetnost ) . 
94,ENG30-08592165-n,Položaj koji trkač sa baza zauzimati kada se pripremati da napredovati ka sledeći baza ( bejzbol ) . 
95,ENG30-07293678-n,Pobeda dobiti na poen kada nem nokaut ( boks ) . 
96,ENG30-05034473-n,karakteristika atom ili radikal ; njihov združiti moć dati u kategorija brojati atom vodonik ( ili ekvivalent ) ( hemija ) . 
97,ENG30-07977592-n,zbirka standardan program i podrutina koji se pohranjivati i stavljati na raspolaganje za trenutan upotreba ( informatika ) . 
98,ENG30-13562862-n,postepen i sređen proces promena u ekosistem koji jesam izazvati progresivno zamenjivanje jedan zajednica drugi dok se ne uspostaviti stabilan vrhunac ( ekologija ) . 
99,ENG30-13451804-n,"upotreba privredni dobro da biti se zadovoljiti potreba , ili u proizvodni svrha ( ekonomija ) . "
100,ENG30-07420991-n,Oštar prolazan talas u normalan električni stanje ( ili niz takav prolazan ) ( elektronika ) . 
101,ENG30-13597794-n,u pozicioni brojni sistema pozitivan ceo broj koji jesam ekvivalentan jedinica na sledeći višem redni mesto ( matematika ) . 
102,ENG30-05057061-n,Položaj na koji se po dužnost raspoređivati brod ili flota ( mornarica ) . 
103,ENG30-01455732-a,"za zvuk , posebno glas . "
104,ENG30-07345593-n,progresivan ometanje koji se prenositi bez pomeranje sam sredstvo ( fizika ) . 
105,ENG30-01221254-n,skup odgovor ili reakcija ili pokret koji prav organizam u biti kakav situacija ( psihologija ) . 
106,ENG30-01278080-a,"za osoba , koji stajati iznad drugi po karakter ili postignuće ili ugled . "
107,ENG30-07968702-n,"Obično u množina , društven grupa čiji član kontrolisati neki polje rad i koji imati zajednički cilj . "
108,ENG30-06630017-n,potvrda ili izraz dobar volja ( obično pri susret ) 
109,ENG30-08500213-n,dubok i udaljen deo . 
110,ENG30-15235126-n,Šezdeseti deo minuta : osnovni jedinica vreme koji jesam usvojiti Međunarodni sitem merni jedinica . 
111,ENG30-15205532-n,sto godina . 
112,ENG30-13863186-n,dvodimenzionalan oblik . 
113,ENG30-07201365-n,Čin opisivanje nešto . 
114,ENG30-00125629-n,Čin udaranje jedan stvar drugi . 
115,ENG30-07940448-n,osnovni grupa prirodan predmet . 
116,ENG30-09622928-n,voljen osoba ; koristiti se u izraz od milja . 
117,ENG30-05949726-n,verovanje ili raspoloženje zajednički većina ljudi : glas narod . 
118,ENG30-07929519-n,napitak koji se sastojati od primesa mleven zrno kafa . 
119,ENG30-07933274-n,napitak koji se spravljati potapanje čajni list u voda . 
120,ENG30-05333777-n,krvni sud koji odvoditi krv iz srce u telo . 
121,ENG30-04244997-n,mali čamac . 
122,ENG30-03329663-n,Brod koji prevoziti ljudi ili vozilo preko voden površina i raditi po redovan raspored . 
123,ENG30-02792552-n,Brod sa ravan dno za prenos težak teret ( posebno na kanal ) . 
124,ENG30-05298313-n,organ koji jesam neophodan za život . 
125,ENG30-08414119-n,telo građanin zaklet da donositi istinit presuda u sklad sa dokaz predstavljen na sud . 
126,ENG30-08375369-n,zajednica ljudi ili porodica koji živa zajedno i deliti sav . 
127,ENG30-07966719-n,zajednica ljudi koji činiti deo društvo ili privreda . 
128,ENG30-09328904-n,voden površina okružen zemlja . 
129,ENG30-02993546-n,zgrada posvećen poseban aktivnost . 
130,ENG30-04306080-n,zgrada snabdeven poseban oprema i osoblje za odrediti namena . 
131,ENG30-03054311-n,zgrada koji zaposedati klub . 
132,ENG30-03859280-n,zgrada koji jesam podrediti i odvojiti od glavne zgrada . 
133,ENG30-03542333-n,zgrada gde putnik moći da platiti smeštaj obrok i drugi usluga . 
134,ENG30-03457902-n,"zgrada sa staklen zid i krov , za uzgoj i pokazivanje biljka pod kontrolisan uslov . "
135,ENG30-08057206-n,firma koji služiti drugi firma . 
136,ENG30-03594945-n,automobil pogodan za putovanje preko težak teren . 
137,ENG30-02924554-n,automobil koji jesam star i nepouzdan . 
138,ENG30-00138221-n,dodir usna . 
139,ENG30-07414922-n,Slučajno ili neočekivan susretanje . 
140,ENG30-08006094-n,kategorija koji dolaziti između neki određenih granica . 
141,ENG30-07305234-n,uzrok velik patnja i nesreća . 
142,ENG30-07189411-n,ceremonijalan molitva koji zazivati božanski zaštita . 
143,ENG30-00260622-n,promena nabolje kao rezultat ispravljanje zloupotreba . 
144,ENG30-07357388-n,"promena nabolje , napredak u razvoj . "
145,ENG30-07358576-n,promena sa jedan mesto ili stanje ili stepen u drugi . 
146,ENG30-04981658-n,Karakterističan zvuk . 
147,ENG30-01037819-n,Hrišćanska svet tajna koji značiti ponovno duhovno rođenje . 
148,ENG30-08579487-n,Kružna linija na površina sfera koji se dobijati kada se ona preseći ravnina koji prolaziti kroz centar . 
149,ENG30-04253437-n,sredstvo za čišćenje napraviti od so biljni ili životinjski mast . 
150,ENG30-14845743-n,proziran tečnost bez miris i ukus . 
151,ENG30-13811410-n,blizak veza karakterisati zajednički interes ili sličan priroda ili svojstvo . 
152,ENG30-02536685-n,blizak prijatelj koji učestvovati sa drugar u njihov aktivnost . 
153,ENG30-07977870-n,zbirka književan dokument ili zapis koji se držati radi čitanje . 
154,ENG30-07961480-n,zbirka predmet naslagan jedan preko drugi . 
155,ENG30-04338359-n,zbirka predmet naredanih na jedan vlakno . 
156,ENG30-08271042-n,grupa zvezdan sistema . 
157,ENG30-08407619-n,grupa stvar ( dobro ili umetnički delo itd . ) za javan pokazivanje . 
158,ENG30-07963711-n,grupa stvar koji jesam udružen ; zbir odvojen deo ili svojstvo . 
159,ENG30-08374049-n,zajednica ljudi koji se naseliti daleko od matica ali sa ona održavati veza . 
160,ENG30-07210801-n,Pritužba na ( stvaran ili zamišljen ) nepravda koji uzrokovati ozlojeđenost i predstavljati osnova za delovanje . 
161,ENG30-07211092-n,Pritužba izgovoriti tih i nerazgovetan glas . 
162,ENG30-07956426-n,potpun grupa sličan stvar . 
163,ENG30-03069752-n,skup zgrada u koji jesam smešten fakultet . 
