,ID,Definicija,POS,NEG
0,ENG30-03574555-n,zgrada u koji se nalaziti organizacioni jedinica neki grana javan poslovanje ,4.67487e-07,1.3392879e-06
1,ENG30-07810907-n,pripremljen dodatak jela za poboljšanje ukus ,6.739622e-07,1.4603249e-06
2,ENG30-00721431-n,"u nečiji prilika , mogućnost ",5.589008e-07,8.679891e-06
3,ENG30-00473799-v,ostati jesam još samo da se doterati neki finesa u igra plaviti . ,1.0672076e-06,1.4959617e-06
4,ENG30-00903385-v,zapad on jesam oprostiti što se nekada računati u Slobin prijatelj . ,6.20503e-07,5.3853228e-06
5,ENG30-00900961-v,""" i najposle se oprostiti : on sklapanje ruka , ja poklon . "" ",7.5595733e-07,1.00310335e-05
6,ENG30-01987160-v,Čeličnu grdosija težak ukupno @card@ ton postaviti jesam na stub i namontirali neimar Mostogradnje . ,5.7396085e-07,1.3465981e-06
7,ENG30-01348174-v,sputati pomoću brava ,2.3608723e-06,1.7138259e-06
8,ENG30-01376245-v,razmestiti na raštrkan način . ,1.5099533e-06,3.148079e-06
9,ENG30-01382083-v,Tražiti i sakupljati . ,3.597584e-06,3.2499918e-06
10,ENG30-01387022-v,uglačati turpija ,0.005260187,3.1701206e-06
11,ENG30-01393996-v,Očistiti metenje . ,2.1090013e-06,2.8238328e-06
12,ENG30-01421622-v,staviti ili ubaciti u nešto . ,5.1628496e-07,7.8487865e-06
13,ENG30-01431987-v,lagano dodirivati ili maziti . ,9.005999e-07,1.5114263e-06
14,ENG30-01437254-v,"uzrokovati ili narediti da se preneti , usmeriti ili odaslati na drugi mesto . ",4.982118e-07,1.5326976e-06
15,ENG30-01441100-v,napraviti rupa u nešto . ,6.1309925e-07,1.4396329e-06
16,ENG30-01445932-v,"uhvatiti , odgristi ili otrgnuti pomoću zub ili kao zub . ",6.153883e-07,1.7233679e-06
17,ENG30-01446901-v,pomerati ili ljuljati napred-nazad . ,8.695853e-07,1.6350364e-06
18,ENG30-01371756-v,"terati , voditi noga , u sport kao što jesam futbal . ",5.9372627e-07,1.5268225e-06
