ID,Lemme,Vrsta,POS,NEG
ENG30-03574555-n,ustanova,n,0.0,0.0
ENG30-07810907-n,začin,n,0.0,0.25
ENG30-00721431-n,mesto,n,0.0,0.0
ENG30-00473799-v,"obnoviti,doterati,uglancati,uljuditi",v,0.0,0.0
ENG30-00903385-v,oprostiti,v,0.25,0.0
ENG30-00900961-v,oprostiti se,v,0.375,0.0
ENG30-01987160-v,postaviti,v,0.0,0.0
ENG30-01348174-v,"zaključati,zabraviti",v,0.0,0.0
ENG30-01376245-v,"rasuti,raštrkati,posuti,rasejati,rasturiti",v,0.0,0.0
ENG30-01382083-v,"brati,sakupljati",v,0.0,0.0
ENG30-01387022-v,"oturpijati,isturpijati,strugati",v,0.0,0.0
ENG30-01393996-v,pomesti,v,0.25,0.25
ENG30-01421622-v,"ubaciti,umetnuti,staviti",v,0.0,0.0
ENG30-01431987-v,"golicati,škakljati,dražiti",v,0.0,0.0
ENG30-01437254-v,"odaslati,izaslati,izdati",v,0.0,0.0
ENG30-01441100-v,probušiti,v,0.0,0.0
ENG30-01445932-v,"ujesti,ugristi",v,0.0,0.0
ENG30-01446901-v,"mahnuti,mahati,vitalati",v,0.0,0.0
ENG30-01371756-v,"šutnuti,voditi",v,0.0,0.0
ENG30-01370561-v,šutnuti,v,0.0,0.0
ENG30-01391280-v,"uvaljati,razviti",v,0.0,0.0
ENG30-01435380-v,"preneti,sprovesti",v,0.0,0.0
ENG30-01456771-v,"štipati,štipnuti,stisnuti",v,0.0,0.0
ENG30-01461328-v,"smešati,pomešati",v,0.0,0.0
ENG30-01487311-v,"opteretiti,otežati,natovariti",v,0.0,0.0
ENG30-01488956-v,utovariti,v,0.0,0.0
ENG30-01489989-v,"nakrcati,natovariti",v,0.0,0.0
ENG30-01493619-v,"smestiti se,zavaliti se",v,0.125,0.0
ENG30-01528069-v,"smestiti,zabiti,zariti",v,0.0,0.0
ENG30-01536168-v,"proprati,isplaknuti",v,0.0,0.125
ENG30-01566705-v,"smrskati,skršiti",v,0.0,0.75
ENG30-01573515-v,"prekinuti se,preseći se,puknuti,rasparati",v,0.0,0.0
ENG30-01631534-v,"zamisliti,stvoriti umom",v,0.0,0.0
ENG30-01634142-v,"smisliti,isplanirati,zasnovati",v,0.0,0.0
ENG30-01691057-v,"crtati,pisati",v,0.0,0.0
ENG30-01723690-v,"oličavati,oličiti",v,0.0,0.0
ENG30-01747374-v,prepisati,v,0.0,0.25
ENG30-01797051-v,"oplakati,tugovati,jadikovati,ožaliti",v,0.0,0.75
ENG30-01824532-v,želeti dobro,v,0.125,0.5
ENG30-01828405-v,"čeznuti,priželjkivati,žudeti",v,0.375,0.375
ENG30-01866610-v,"vrteti se,kotrljati se,valjati se",v,0.0,0.0
ENG30-01868370-v,"migoljiti se,uvrtati se,savijati se",v,0.0,0.0
ENG30-01876530-v,ići tamo-amo,v,0.0,0.0
ENG30-01888946-v,"drhtati,potresti se,treperiti,protresti se",v,0.375,0.0
ENG30-01902405-v,"odjuriti,strugnuti,kidnuti,odmagliti",v,0.0,0.0
ENG30-01902783-v,"plutati,lelujati se",v,0.0,0.0
ENG30-01909397-v,"prevrnuti se,iskrenuti se",v,0.0,0.125
ENG30-01911888-v,"ušunjati se,privući se,prikrasti se",v,0.125,0.0
ENG30-01916634-v,"šepiriti se,šepuriti se,kerebečiti se,prsiti se,razmetati se",v,0.0,0.0
ENG30-01920932-v,dugo pešačiti,v,0.0,0.25
ENG30-01938426-v,"skijati se,smučati se",v,0.0,0.0
ENG30-01960911-v,plivati,v,0.0,0.0
ENG30-01977701-v,ispustiti,v,0.0,0.0
ENG30-01983771-v,promeniti položaj,v,0.0,0.0
