,Sysnet
0,Koji koristi intelekt ili je privlačan intelektu.
1,Stanje zadovoljstva jer nema bolesti.
2,Neko višeg ranga ili položaja ili kvaliteta.
3,Pristajanje uz ono što je opšte prihvaćeno.
4,Stanje ili uslov u kome je neko nevin za određen zločin ili uvredu.
5,"Koji ima veseo karkater, nije sklon brigama."
6,Ukazati poverenje kome.
7,Jačati u snazi.
8,koji zaslužuje najviše poštovanje i divljenje
9,Koji može da se desi ili da postoji.
10,postojan u naklonosti ili odanosti
11,Koji izražava ili propoveda obožavanje božanstva.
12,stanje opuštenosti i neosećanja bola
13,osobina prefinjene uglađenosti i dobrog ukusa
14,koji nešto potvrđuje
15,Čin ili proces merenja.
16,Stanje izuzetne sreće.
17,"Koji ne predstavlja teškoću, ne iziskuje napor."
18,Načiniti napetim.
19,"Zaklanjati od opasnosti, povrede, uništenja ili štete."
20,Jako pozitivno osećanje poštovanja i privreženosti
21,osećanje prijateljstva i uvažavanja
22,koji oseća ili pokazuje dobro raspoloženje
23,Koji je u životu.
24,"ustanovljeno,zasnovano na zakonu ili na zvanično prihvaćenim pravilima"
25,Priroda ili svojstvo onoga ko je emocionalan.
26,koji ima urođenu sklonost prema dobroti
27,"Koga karakeriše ili koji pokazuje odbijanje, poricanje ili suprotstavljanje; koji nema pozitivna svojstva."
28,prijatno i površno uzbuđujući
29,radnja koju karakteriše dobro raspoloženje
30,Biti nekome prihvatljiv ili odgovarajući.
31,"koji se želi, traži"
32,gajiti osećanja dubokog poštovanja i straha pred autoritetom.
33,osećanje velikog (obićno preteranog) ushićenja
34,može se koristiti i u vremenskom smislu
35,Učiniti da nešto bude pomaknuto prema napred.
36,"kvalitet nečega što je isto po količini, meri, vrednosti ili statusu"
37,Zaokupiti na prijatan ili zabavan način.
38,kvalitet onoga što ima veliku cenu
39,Imati visoko mišljenje o nekome.
40,"lična sloboda od ropstva, zarobljeništva i ugnjetavanja"
41,preuveličano osećanje blagostanja ili ushićenja
42,Osećanja proživljena kada je neko u zadovoljnom stanju.
43,"ono što je dobro, vredno ili korisno"
44,Osećanje velike sreće.
45,francuska reč za sreću i dobro raspoloženje
46,Odbolovati bolest ili prevazići šok.
47,Nastrojen prema nečemu.
48,"presuda(odluka) da optuženi nije kriv, odluka o nepostojanju krivice,o oslobađanju od krivice"
49,koji je sklon ljubavi ili ispoljavanju ljubavi
50,"Aktivnost koja stimuliše, zabavlja i razonodi."
51,sposobnost postojanja ili delovanja u harmoničnoj ili usklađenoj kombijaciji
52,Koji nastaje iz želje da se doprinese blagostanju ili sreći drugih.
53,"Dizajniran za određenu funkciju ili korišćenje, ili sposoban za njih."
54,osobina da se radi ono što je ispravno i da se izbegava ono što nije
55,"Biti potpun u svojoj vrsti, bez nedostataka"
56,"Ono što je u saglasnosti s normom ili što čini normu (standard, socijalnu normu, ird)."
57,koji donosi dobar profit
58,Spojen ili vezan.
59,"kvalitet da čovek ne stavlja sebe prvo, već da je spreman da svoje vreme, novac ili trud posveti drugima"
60,biti zaljubljen ili u ljubavi s nekim
61,Velik po stepenu ili intenzitetu ili broju ili količini.
62,Ne pridržavanje moralnim principima.
63,koji oseća ili izaziva radost
64,Biti prihvatljiv ili pristao.
65,Biti prihvatljiv ili odgovarajući.
66,"prošireno značenje, naročito u psihološkom slislu, ogleda se u jačini strasti ili entuzijazma"
67,Bez prljavštine ili nečistoće; onaj koji ima naviku da bude čist
68,postići bod ili cilj
69,Postati stabilan ili stabilniji.
70,"koji ohrabruje, odobrava ili zadovoljava"
71,veseo i ozaren
72,Kvalitet onoga ko je brižljiv i pažljiv.
73,"učiniti da nešto postane sanitarno (bez bacila), npr.sterilizacijom"
74,"Koji ima ili ukazuje na dobro zdravlje tela ili duha, kod koga nema upale ili bolesti."
75,izuzetno dobar; ove reči se koriste za naglašavanje značenja drugih reči
76,život životinja za razliku od života biljaka
77,osećanje izazvano nečim čudnim i iznenađujućim
78,"Koji privremeno nije aktivan, o vulkanima"
79,koji pokazuje ili izaziva veselje i zadovoljstvo
80,Nalaziti da je nešto zabavno ili prijatno.
81,Oporavak ili način čuvanja od gubitka ili opasnosti.
82,Obezbediti zabavu za nekoga.
83,preparat koji se koristi za čišćenje nečega
84,izuzetno ponosan i veseo; dobrog raspoloženja
85,sklonost obavljanju dobrovoljnih ili dobrotvornih poslova
86,osobina ljudi da veruju u poštenje i pouzdanost drugih
87,koji oseća ili pokazuje ljubav i naklonost
88,"Koji ushićuje čula, uzbuđuje duh ili izaziva emocionalno divljenje."
89,veličina čija se vrednost ne menja
90,Popuštati lako ili sposoban za nešto.
91,Specijalna grupa koja je delegirana da razmotri neku stvar.
92,Imati sposobnost ili moć kreativnosti.
93,koji oseća ili izražava radost i veselje
94,Stanje biti zaposlen ili imati posao.
