,Sysnet
0,Koji koristi intelekt ili je privlačan intelektu.
1,Stanje zadovoljstva jer nema bolesti.
2,Neko višeg ranga ili položaja ili kvaliteta.
3,Pristajanje uz ono što je opšte prihvaćeno.
4,"Koji ima veseo karkater, nije sklon brigama."
5,Jačati u snazi.
6,koji zaslužuje najviše poštovanje i divljenje
7,Koji izražava ili propoveda obožavanje božanstva.
8,osobina prefinjene uglađenosti i dobrog ukusa
9,Stanje izuzetne sreće.
10,"Zaklanjati od opasnosti, povrede, uništenja ili štete."
11,Jako pozitivno osećanje poštovanja i privreženosti
12,osećanje prijateljstva i uvažavanja
13,koji oseća ili pokazuje dobro raspoloženje
14,Priroda ili svojstvo onoga ko je emocionalan.
15,koji ima urođenu sklonost prema dobroti
16,prijatno i površno uzbuđujući
17,radnja koju karakteriše dobro raspoloženje
18,Biti nekome prihvatljiv ili odgovarajući.
19,"koji se želi, traži"
20,gajiti osećanja dubokog poštovanja i straha pred autoritetom.
21,Zaokupiti na prijatan ili zabavan način.
22,kvalitet onoga što ima veliku cenu
23,"ono što je dobro, vredno ili korisno"
24,francuska reč za sreću i dobro raspoloženje
25,"presuda(odluka) da optuženi nije kriv, odluka o nepostojanju krivice,o oslobađanju od krivice"
26,koji je sklon ljubavi ili ispoljavanju ljubavi
27,osobina da se radi ono što je ispravno i da se izbegava ono što nije
28,koji donosi dobar profit
29,biti zaljubljen ili u ljubavi s nekim
30,Ne pridržavanje moralnim principima.
31,Biti prihvatljiv ili pristao.
32,Biti prihvatljiv ili odgovarajući.
33,postići bod ili cilj
34,Postati stabilan ili stabilniji.
35,"koji ohrabruje, odobrava ili zadovoljava"
36,veseo i ozaren
37,"učiniti da nešto postane sanitarno (bez bacila), npr.sterilizacijom"
38,"Koji ima ili ukazuje na dobro zdravlje tela ili duha, kod koga nema upale ili bolesti."
39,izuzetno dobar; ove reči se koriste za naglašavanje značenja drugih reči
40,osećanje izazvano nečim čudnim i iznenađujućim
41,Nalaziti da je nešto zabavno ili prijatno.
42,Oporavak ili način čuvanja od gubitka ili opasnosti.
43,sklonost obavljanju dobrovoljnih ili dobrotvornih poslova
44,osobina ljudi da veruju u poštenje i pouzdanost drugih
45,koji oseća ili pokazuje ljubav i naklonost
46,"Koji ushićuje čula, uzbuđuje duh ili izaziva emocionalno divljenje."
47,koji oseća ili izražava radost i veselje
48,revnostan u posvećenosti i privrženosti
49,blagonaklona procena
50,Moralna izvanrednost.
51,onaj koji ima visoku vrednost ili cenu;
52,Osobina onog ko je široko prihvaćen i čije se društvo traži.
53,činjenje dobra; osećaj dobrotvornosti
54,sposoban za korektno i validno rezonovanje
55,koji ispoljava pogodan ili povoljan uticaj
56,"Stanje pozitivnih osećanja, od zadovoljstva do jakog ushićenja."
57,Čin kojim se čini neko dobro delo.
58,koji može da se redukuje
59,okarakterisan prijateljstvom i dobrom voljom
60,onaj koji poseduje moralne kvalitete;
61,koji čini živahnim i veselim
62,"Koga karakteriše ili koji pokazuje prihvatanje, slaganje ili uverenost."
63,"Onaj ko ima nežnu, pažljivu i obzirnu prirodu; koristi se za osobe i njihovo ponašanje."
64,Stav divljenja ili poštovanja.
65,"Kvalitet koji čini daa je nešto poželjno, vredno ili korisno."
66,nadmoćan ili povoljniji položaj
67,moralno primeran
68,stanje bez oštećenja ili propadanja
69,bilo šta u skladu sa principima pravde
70,"Prijatan za oči ili dušu, posebno jer je lep ili šarmantan."
71,"osobina onoga na šta se može osloniti, što je pouzdano"
72,diviti se i čuditi nečemu
73,na visokom nivou po rangu ili značaju
74,Inherentni kompleks atributa koji određuju moralne i etičke akcije i reakcije osoba.
75,Apolutno važno.
76,(za naglašavanje značenja) izuzetno dobro
77,osećanje duboke ljubavi i divljenja
78,energično i oduševljeno uživanje
79,Veliko bogatstvo.
80,koji je pun pozitivne energije i širi dobro raspoloženje
81,koji inavodi na divljenje ili odobravanje
82,"osobina onoga koji ne odustaje od svoje ideje, osećanja ili namere"
83,Osećanje samopoštovanja i lične vrednosti.
84,Visoka vrednost nečega.
85,Biti veoma primetan.
86,Pogodan trenutak.
87,Ispuniti očekivanja.
88,Kvalitet nekoga ili nectega što je važno ili vredno pažnje.
89,osećati zadovoljstvo zbog nečega
90,razvijati se u pozitivnom smeru
91,koji proizvodi ili je sposoban da proizvodi (posebno u velikim količinama)
92,"Onaj koji uživa ili pokazuje radost, zadovoljstvo ili srešu."
93,držanje do moralnih principa
94,"U skolastici, jedna od četiri vrline koje dolaze od prirode."
95,Nestašno ponašanje sa namerom da pobudi seksualno zanimanje.
96,Nesmanjena i nenarušena celovitost ili ukupnost.
97,Lepota koja je privlačna čulima.
98,"""slaviti vrline svoje dece"""
99,veselo osećanje
100,"Zadovoljno stanje sreće, zdravlja i prosperiteta."
