,Sysnet
19277,"tamno, jako, englesko pivo"
12578,Planinska republika u južnoj Evropi; ranije deo Otomanskog carstva i deo Jugoslavije; stekla nezavisnost
6648,glavni grad Kostarike
10118,par šina po kojima se kreću vozovi
10573,Vojna jedinica koja se obično sastoji od štaba i tri ili više četa.
3279,Štap od voska sa fitiljem u sredini.
13776,"široko rasprostranjeni mineral, sastoji se od kristala kalcijum karbonata"
1904,čin izdavanja formalnog (obično pisanog) ovlašćenja
16243,Niska evropska trava sa malim žutim cvetovima.
4588,Sin nečijeg sina ili ćerke.
19195,Neka od mnogih riba koje se love i jedu sa izduženim telom bodljikavim dorsalnim perajima.
15618,Čin iznošenja predloga.
19282,Uglavnom tropska travnata biljka (ukljucuje žbunje i drveće) sa? cvećem; rodovi: Phytolacca; Agdestis; Ercilla; Rivina; Trichostigma
62,velika crvena jabuka koja se koristi za pečenje
8860,"postoje indicije da kod nekih pojedinaca postoji intolerancija na natrijum-glutamat što kod njih može da izazove osećaj obamrlosti u potiljku, leđima i rukama, lupanje srca, glavobolju i osećaj slabosti u roku od dva sata nakon konzumiranja hrane koja ga sadrži"
2439,algonkinski jezik kojim govori narod Menomini
1853,raketa koja se navodi u prvom delu puta za zatim slobodno pada kako se približava cilju
15323,"jedina postojeća vrsta ribe iz familije Pomatomidae sa masnim, plavim mesom"
8367,odrednica u rečniku koja daje objašnjenje reči
13164,Jedno od para peraja koje je smešteno odmah iza glave kod riba i pomaže im da kontrolišu pravac kretanja.
9860,znak interpunkcije (!) koji se koristi nakon uzvika
18966,Podudara se sa familijom Punicaceae.
226,Dodeliti oznaku nečemu.
5000,"u grčkoj mitologiji mostrum u ženskom liku koji bljuje vatru; ima lavlju glavu, telo koze, a zmiski rep; ćerka Tifona"
16734,kratak uvodni članak koji prethodi tekstu knjige
15824,Linija koju obrazuje rub odeće oko vrata.
16119,"Dovesti u saglasnost sa pravilima, principima ili korišćenjem; nametnuti pravila."
6713,jabuka koja se primarno koristi za kuvanje
18767,Staviti u pogon.
9139,Mala providna riba koja ima običaj da se zarije u pesak; primitivni prethodnik kičmenjaka.
2314,flagelate (bičari) koje žive u simbiozi u intestinumu (crevima) na pr. termita
18348,Čin pokazivanja.
120,Pupavci.
8491,bučna zabava
2961,Drveni duvački instrument (iako je od lima) s jednim jezičkom; u obliku lule; s mehanizmom za pokrivanje rupica.
4765,promeniti spoljašnju strukturu ili izled
